annotator,document,system,corpus,rank
39,63,pegasus,xsum,2
39,63,prophetnet,xsum,4
39,63,bart,xsum,1
39,63,bertextabs,xsum,2
39,64,pegasus,xsum,2
39,64,prophetnet,xsum,1
39,64,bart,xsum,2
39,64,bertextabs,xsum,4
39,65,pegasus,xsum,2
39,65,prophetnet,xsum,4
39,65,bart,xsum,1
39,65,bertextabs,xsum,2
40,66,pegasus,xsum,2
40,66,prophetnet,xsum,2
40,66,bart,xsum,4
40,66,bertextabs,xsum,1
40,67,pegasus,xsum,4
40,67,prophetnet,xsum,2
40,67,bart,xsum,2
40,67,bertextabs,xsum,1
40,68,pegasus,xsum,2
40,68,prophetnet,xsum,2
40,68,bart,xsum,4
40,68,bertextabs,xsum,1
40,69,pegasus,xsum,2
40,69,prophetnet,xsum,2
40,69,bart,xsum,4
40,69,bertextabs,xsum,1
40,70,pegasus,xsum,1
40,70,prophetnet,xsum,2
40,70,bart,xsum,4
40,70,bertextabs,xsum,2
41,66,pegasus,xsum,2
41,66,prophetnet,xsum,2
41,66,bart,xsum,4
41,66,bertextabs,xsum,1
41,67,pegasus,xsum,1
41,67,prophetnet,xsum,4
41,67,bart,xsum,2
41,67,bertextabs,xsum,2
41,68,pegasus,xsum,2
41,68,prophetnet,xsum,4
41,68,bart,xsum,2
41,68,bertextabs,xsum,1
41,69,pegasus,xsum,1
41,69,prophetnet,xsum,4
41,69,bart,xsum,2
41,69,bertextabs,xsum,2
41,70,pegasus,xsum,2
41,70,prophetnet,xsum,4
41,70,bart,xsum,1
41,70,bertextabs,xsum,2
42,66,pegasus,xsum,1
42,66,prophetnet,xsum,4
42,66,bart,xsum,2
42,66,bertextabs,xsum,2
42,67,pegasus,xsum,4
42,67,prophetnet,xsum,2
42,67,bart,xsum,1
42,67,bertextabs,xsum,2
42,68,pegasus,xsum,2
42,68,prophetnet,xsum,2
42,68,bart,xsum,4
42,68,bertextabs,xsum,1
42,69,pegasus,xsum,2
42,69,prophetnet,xsum,4
42,69,bart,xsum,2
42,69,bertextabs,xsum,1
42,70,pegasus,xsum,2
42,70,prophetnet,xsum,4
42,70,bart,xsum,2
42,70,bertextabs,xsum,1
43,71,pegasus,xsum,2
43,71,prophetnet,xsum,4
43,71,bart,xsum,1
43,71,bertextabs,xsum,2
43,72,pegasus,xsum,1
43,72,prophetnet,xsum,2
43,72,bart,xsum,4
43,72,bertextabs,xsum,2
43,73,pegasus,xsum,4
43,73,prophetnet,xsum,2
43,73,bart,xsum,1
43,73,bertextabs,xsum,2
43,74,pegasus,xsum,2
43,74,prophetnet,xsum,2
43,74,bart,xsum,1
43,74,bertextabs,xsum,4
43,75,pegasus,xsum,4
43,75,prophetnet,xsum,2
43,75,bart,xsum,2
43,75,bertextabs,xsum,1
44,71,pegasus,xsum,2
44,71,prophetnet,xsum,1
44,71,bart,xsum,4
44,71,bertextabs,xsum,2
44,72,pegasus,xsum,2
44,72,prophetnet,xsum,2
44,72,bart,xsum,4
44,72,bertextabs,xsum,1
44,73,pegasus,xsum,4
44,73,prophetnet,xsum,2
44,73,bart,xsum,2
44,73,bertextabs,xsum,1
44,74,pegasus,xsum,1
44,74,prophetnet,xsum,4
44,74,bart,xsum,2
44,74,bertextabs,xsum,2
44,75,pegasus,xsum,2
44,75,prophetnet,xsum,2
44,75,bart,xsum,4
44,75,bertextabs,xsum,1
45,71,pegasus,xsum,2
45,71,prophetnet,xsum,2
45,71,bart,xsum,4
45,71,bertextabs,xsum,1
45,72,pegasus,xsum,2
45,72,prophetnet,xsum,4
45,72,bart,xsum,2
45,72,bertextabs,xsum,1
45,73,pegasus,xsum,4
45,73,prophetnet,xsum,2
45,73,bart,xsum,1
45,73,bertextabs,xsum,2
45,74,pegasus,xsum,4
45,74,prophetnet,xsum,2
45,74,bart,xsum,2
45,74,bertextabs,xsum,1
45,75,pegasus,xsum,4
45,75,prophetnet,xsum,2
45,75,bart,xsum,2
45,75,bertextabs,xsum,1
46,76,pegasus,xsum,4
46,76,prophetnet,xsum,2
46,76,bart,xsum,1
46,76,bertextabs,xsum,2
46,77,pegasus,xsum,2
46,77,prophetnet,xsum,1
46,77,bart,xsum,4
46,77,bertextabs,xsum,2
46,78,pegasus,xsum,2
46,78,prophetnet,xsum,2
46,78,bart,xsum,4
